"time","CA","CB","CP","CI","X_A","Y_P","S_P","purity","production_rate","reactor"
77.5,0.11714382518691,0.31714382518691,0.792919141896103,0.0899370329169871,0.88285617481309,0.792919141896103,0.898129461648544,0.898129461648544,2.37875742568831,"CSTR"
78,0.117143825186881,0.317143825186881,0.792919141896129,0.0899370329169901,0.882856174813119,0.792919141896129,0.898129461648544,0.898129461648544,2.37875742568839,"CSTR"
78.5,0.117143825186856,0.317143825186856,0.792919141896152,0.0899370329169926,0.882856174813144,0.792919141896152,0.898129461648544,0.898129461648544,2.37875742568845,"CSTR"
79,0.117143825186835,0.317143825186835,0.79291914189617,0.0899370329169947,0.882856174813165,0.79291914189617,0.898129461648544,0.898129461648544,2.37875742568851,"CSTR"
79.5,0.117143825186818,0.317143825186818,0.792919141896186,0.0899370329169965,0.882856174813182,0.792919141896186,0.898129461648544,0.898129461648544,2.37875742568856,"CSTR"
80,0.117143825186803,0.317143825186803,0.792919141896199,0.089937032916998,0.882856174813197,0.792919141896199,0.898129461648544,0.898129461648544,2.3787574256886,"CSTR"
80.5,0.11714382518679,0.317143825186791,0.79291914189621,0.0899370329169993,0.88285617481321,0.79291914189621,0.898129461648544,0.898129461648544,2.37875742568863,"CSTR"
81,0.11714382518678,0.31714382518678,0.79291914189622,0.0899370329170004,0.88285617481322,0.79291914189622,0.898129461648544,0.898129461648544,2.37875742568866,"CSTR"
81.5,0.117143825186771,0.317143825186771,0.792919141896228,0.0899370329170013,0.882856174813229,0.792919141896228,0.898129461648544,0.898129461648544,2.37875742568868,"CSTR"
82,0.117143825186764,0.317143825186764,0.792919141896234,0.089937032917002,0.882856174813236,0.792919141896234,0.898129461648544,0.898129461648544,2.3787574256887,"CSTR"
